Order Country,Revenue,Profit,Orders
Estados Unidos,4879667.667388519,540413.070421508,8270
Francia,2879942.361288111,327828.580099241,4866
México,2633195.292080005,303278.370637129,4395
Alemania,2074171.817105304,194827.080380509,3518
Australia,1694621.673080093,170041.580431952,3798
Reino Unido,1612094.84828754,180942.88042435,2785
Brasil,1594319.951363941,186713.640354883,2650
China,1172902.112133653,122190.920524783,2616
Italia,1072181.669068851,121545.47008749,1880
India,962396.698442322,99746.819971747,2152
España,851526.73557693,93547.639825653,1462
Indonesia,847605.926286641,90714.079720939,1920
El Salvador,747720.21475175,77051.909965232,1238
Honduras,734959.674692781,85173.809994539,1178
República Dominicana,726613.053971251,84401.019917164,1242
Cuba,709339.424026291,60624.030138545,1191
Turquía,667863.363495651,70910.659854231,1140
Nicaragua,605055.10164829,66033.600079495,1010
Guatemala,550517.1204757399,47330.880076301,904
Nigeria,455321.298776123,53436.540100951,765
Países Bajos,423197.057431701,42406.800020575996,736
Filipinas,420269.81797699997,47687.919908352,955
Panamá,385822.717259191,37456.609908681,656
Argentina,378746.15726734,38797.770203033,642
Colombia,344901.316569432,39434.930136508,607
Nueva Zelanda,310038.786240351,29172.230073972,536
Austria,296302.24545853,36473.110030495,505
Irán,285869.155697071,34910.450040425996,498
Egipto,232570.18445968,21072.810133825,396
Marruecos,223420.02452551998,22879.150035207,374
SudAfrica,217192.8242686,28934.340120244,380
Suecia,204599.50374130098,22041.479955877,354
Rusia,200161.53388983,17473.000080904,322
República Democrática del Congo,198713.26391225,23743.139947235,329
Venezuela,194201.28373694,28004.190010407,319
Irak,193168.15368273,18830.209949379,318
Tailandia,189513.64360479,22735.129920118,403
Ucrania,189131.52366585,16511.539900214,323
Canada,186861.04357377,23900.70995985,309
Vietnam,166364.27305616,16450.940115702,335
Arabia Saudí,163149.703330112,11735.630098737,301
Japón,154352.13280103,12071.529958526,349
Perú,151777.25297382,17744.530052597,272
Bélgica,151641.322521501,15731.90000263,249
Pakistán,151022.683049771,18052.679989786,362
Chile,145544.232664181,13173.860044884,242
Polonia,123901.81234879,14857.180060777,215
Corea del Sur,123235.00242645,14459.300111579,275
Irlanda,116683.22211725,6588.6900771069995,187
Malasia,105694.21223055,10630.040059927,255
Argelia,101095.502041441,12111.169855748,165
Haití,99849.76201385,11748.089936922,174
Bangladés,94686.1819465,9962.070047711999,207
Singapur,93789.42155463,11399.469955706,226
Rumania,90480.96180422,12646.519892917,148
Myanmar (Birmania),80748.77165606999,8666.070058607,193
Portugal,75991.1613586,10409.890012768,120
Tanzania,75470.20148398,10233.269904973,127
Noruega,73162.691530701,9563.010074493,120
Suiza,67361.24128226,7695.480011384,132
Finlandia,61129.22115364,6282.610016723,109
Ecuador,59389.691233389996,2794.710036425,97
Dinamarca,58605.80113302,5224.620048863,110
Angola,57666.02117427,361.80002964799996,103
Zambia,55521.24112796,4120.770003415,86
Israel,54023.76111113,5995.8700789389995,89
Camerún,53905.74096007,8256.249992911,97
Kazajistán,53742.19104207,5837.169985628,91
Ghana,53062.8710333,6129.580042768,87
Senegal,50717.07108529,5004.959961856,88
Kenia,50662.4810613,3826.890033372,82
Sudán,50190.0609977,4209.649984238,84
Costa de Marfil,48247.97082955,5554.449994227,87
Mozambique,48060.400965111,8457.069981218,75
Bolivia,42269.38081026,4693.639971342,73
Bielorrusia,41264.14084326,3495.36002011,68
Zimbabue,39099.520712,4875.180022497,64
Afganistán,38568.860637121,1223.7300236080002,73
República Checa,38135.87070694,3384.52998416,66
Hungría,36030.44070679,5758.310028455,54
Bulgaria,34949.68069682,4069.519936408,59
Jamaica,33063.83063754,4995.3100302,54
Madagascar,28570.55052224,3112.660033031,50
Somalia,28501.900555001,3739.289983681,47
Trinidad y Tobago,28330.5505848,4556.550019854,45
Camboya,27826.49045043,2975.080043856,66
Uruguay,27062.91055724,2691.439990874,42
Uzbekistán,24152.29045731,3193.0200397989997,38
Martinica,24137.01044693,2878.020035077,45
Lituania,23951.94050247,2746.650027365,41
Togo,23693.49051699,1595.3099966300001,40
Níger,23443.35052922,3474.679978105,33
Barbados,23291.430458331,1997.609956228,42
Libia,21217.9804536,3381.119996891,33
Jordania,20006.61043741,1218.349962109,36
Mali,19942.60038615,1053.949975106,36
Uganda,19516.920431669998,3054.20003198,31
Kirguistán,18991.20043017,3147.800019968,34
Ruanda,18913.02037088,-330.020065658,30
Georgia,18498.05038106,1167.9400793779998,30
Nepal,17733.02037062,1140.540050815,30
Croacia,17216.2803271,2268.9499986349997,27
Benín,16430.20037663,2011.160011624,31
Paraguay,15595.09035317,679.3200092940001,24
Mongolia,15481.74029532,-286.229950793,28
Moldavia,15351.10031511,891.1900129889999,28
Hong Kong,14034.02037438,307.02998771,37
Azerbaiyán,13369.540285359999,610.6799988829999,20
Yemen,13106.28025428,1486.780019657,27
Siria,12408.74031085,2769.680024638,23
Turkmenistán,12108.34025204,625.8100029630001,18
Papúa Nueva Guinea,11993.74024117,2264.20997832,28
Guinea,9464.58016041,1537.789983896,13
Gabón,9253.98018839,374.7199834839999,12
Bosnia y Herzegovina,8869.090153019999,-327.38003203799997,16
Albania,8299.13014624,1660.7799978580001,13
Qatar,7724.09012403,1919.379988285,13
Sierra Leona,7429.04018032,418.419976993,11
Liberia,6974.28013037,181.990010234,12
Grecia,6605.52008987,207.429999921,11
Yibuti,6569.37014219,1239.000007855,10
Taiwán,6396.33014312,-1374.5400175319999,13
Guadalupe,6394.2701189,625.009989631,13
Túnez,6258.47011003,945.96000302,12
Costa Rica,5947.17009728,244.73999549900006,11
Emiratos Árabes Unidos,5690.390127271,828.809999568,11
Estonia,5603.42012221,60.66002217999997,10
Guinea-Bissau,5169.41011436,-1448.720007858,9
República Centroafricana,4829.37009444,656.4099980010001,7
Eslovaquia,4739.50009737,587.9000032449999,8
Mauritania,4601.45007706,1011.280008237,6
Guyana,4029.55005658,501.450010086,6
Etiopía,3859.44007123,446.409992206,7
Namibia,3789.6000937999997,494.44999877,6
Lesoto,3149.62005612,484.530015958,6
Líbano,2967.65006254,758.229991467,9
Botsuana,2859.6400528,600.270004295,4
Sri Lanka,2634.72003928,458.94000189800005,11
Belice,2494.81005102,-228.35000607100005,4
Montenegro,2389.72005461,817.81998734,4
Chipre,2099.77005774,378.179997444,4
República del Congo,1974.7200469999998,224.29999924999998,5
Luxemburgo,1764.72002026,483.130002971,4
Guayana Francesa,1704.75001526,-231.880001266,3
Macedonia,1549.8800202,297.450006486,3
República de Gambia,1449.8600159,-265.83000185,1
Burkina Faso,1403.76001363,352.23000024600003,3
Omán,1374.7000275,256.68000030999997,2
Surinam,1339.84002684,156.799998049,2
Suazilandia,1259.9100342,312.46000673,2
Eslovenia,1189.8600311,23.000001406999992,3
Sudán del Sur,879.94002154,222.77999878,2
Tayikistán,845.9100151,241.480003077,3
Bután,769.6000137799999,208.669997927,2
Laos,683.01002312,84.090003012,3
Chad,599.96001054,-272.70999336,1
Sáhara Occidental,599.9600067,-17.520000219,1
Baréin,529.8900146,150.220000755,1
Armenia,455.89999768,42.459998843,1
Kuwait,334.9600067,133.83000183000001,1
Guinea Ecuatorial,319.9600067,103.36000252,2
Eritrea,309.9600067,92.47999954,1
Burundi,299.9500122,77.75,1
Serbia,120.0,42.0,1
