Order Item Discount Rate,Orders,Revenue,Profit
0.0,9400,2042369.1790894829,267412.402338012
0.01,9356,2042793.049082663,238653.961066129
0.02,9364,2042818.1490849329,237401.160813997
0.029999999,9403,2043343.819023784,222475.43018406
0.039999999,9364,2043377.899035154,234683.300467683
0.050000001,9366,2043412.889053113,238468.229398095
0.059999999,9376,2043421.439056163,241415.970776897
0.07,9384,2043451.889058743,233404.920995436
0.090000004,9385,2043478.429071153,229769.42042570098
0.100000001,9377,2043500.519084733,221921.319172135
0.119999997,9381,2043577.719081643,209751.549917302
0.129999995,9372,2044094.549091103,214409.600313788
0.150000006,9386,2044115.219104573,201177.97023164498
0.159999996,9389,2044128.859106783,209446.609544184
0.170000002,9422,2044139.879126383,193878.90969143
0.180000007,9393,2044146.899123023,203422.759571139
0.200000003,9407,2044242.249058463,177312.73943999
0.25,9421,2044322.379047953,191896.719702734
