Month,Net_Sales,Profit,Order_Items,Units_Sold,Orders,Items_per_Order
2015-01-01,945382.1605344249,111660.740131745,5322,11854,1787,2.97817571348629
2015-02-01,833012.429253123,99140.660195881,4729,10438,1585,2.983596214511041
2015-03-01,944050.110472353,113778.210191127,5362,12062,1781,3.0106681639528357
2015-04-01,912004.400261305,108083.679956629,5126,11287,1710,2.99766081871345
2015-05-01,943939.76995613,112147.900143277,5357,11902,1776,3.016328828828829
2015-06-01,920242.060275583,110147.160313142,5134,11203,1725,2.976231884057971
2015-07-01,932936.790226654,115624.059878668,5299,11800,1763,3.005672149744753
2015-08-01,925192.870535762,117979.770301531,5273,11612,1762,2.992622020431328
2015-09-01,914522.370143404,113467.940118142,5140,11366,1706,3.0128956623681127
2015-10-01,943131.10021303,101757.87003983899,5302,11703,1775,2.987042253521127
2015-11-01,924602.570546607,104427.360119529,5235,11463,1729,3.0277617119722384
2015-12-01,950526.920552301,110641.549880989,5371,11790,1805,2.975623268698061
2016-01-01,940283.630375412,106780.950228697,5317,11597,1772,3.000564334085779
2016-02-01,870116.749786724,86809.490641663,4894,10765,1650,2.966060606060606
2016-03-01,921487.730559933,101259.99024981,5210,11349,1764,2.953514739229025
2016-04-01,900492.919909295,114976.619906938,5097,11208,1706,2.987690504103165
2016-05-01,924978.220743864,110716.120111335,5302,11603,1763,3.007373794668179
2016-06-01,901448.010186072,104196.070108119,5054,11008,1690,2.990532544378698
2016-07-01,939216.40059965,119941.720183092,5305,11652,1758,3.0176336746302614
2016-08-01,942408.940467754,110729.540117032,5334,11683,1766,3.0203850509626275
2016-09-01,900371.629961594,123384.709977059,5160,11284,1730,2.9826589595375723
2016-10-01,941882.280194664,116781.970048187,5398,11936,1776,3.0394144144144146
2016-11-01,941197.3609678299,109539.199962309,5210,11493,1721,3.0273097036606624
2016-12-01,932112.890084133,105002.68993700799,5269,11774,1763,2.9886557005104937
2017-01-01,925472.619840525,114843.850276999,5217,11605,1745,2.989684813753582
2017-02-01,891924.289692601,115111.070097214,4906,11070,1614,3.039653035935564
2017-03-01,942290.430651583,118688.90021145,5347,11676,1782,3.000561167227834
2017-04-01,932318.20057466,115961.06019266699,5212,11189,1739,2.997124784358827
2017-05-01,993199.05077958,115014.64001427,5317,11033,1763,3.0158820192853093
2017-06-01,927445.97016683,110399.290304686,4951,10194,1676,2.954057279236277
2017-07-01,992423.43050275,113026.700038081,5318,11091,1776,2.994369369369369
2017-08-01,996507.88074761,131501.160211149,5305,11095,1768,3.0005656108597285
2017-09-01,1027111.72871293,122462.390152852,5189,10502,1723,3.011607661056297
2017-10-01,966081.409769428,113447.169882532,2255,2490,2101,1.0732984293193717
2017-11-01,563393.47010096,67791.250204682,2055,2055,2055,1.0
2017-12-01,452741.530874991,65837.629744941,2124,2124,2124,1.0
2018-01-01,297952.050994565,33841.889977086,2123,2123,2123,1.0
